,F1 macro (validation),Best params,Accuracy (test),F1 macro (test)
lr1,0.7081,"{'lr1__C': 1, 'selector__percentile': 10}",0.6661,0.6658
lr2,0.6654,"{'lr2__C': 10, 'selector__percentile': 10}",0.6259,0.6285
linear_svc,0.6443,"{'linear_svc__C': 1, 'selector__percentile': 10}",0.6084,0.6042
tree,0.5666,"{'selector__percentile': 10, 'tree__max_depth': 7, 'tree__min_samples_leaf': 1}",0.5717,0.5666
adaboost,0.6931,"{'adaboost__base_estimator': DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='gini',
                       max_depth=None, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=42, splitter='best'), 'selector__percentile': 10}",0.6696,0.6685
rand_for,0.6987,"{'rand_for__max_depth': None, 'rand_for__min_samples_leaf': 5, 'selector__percentile': 10}",0.6731,0.6729
extra_trees,0.7114,"{'extra_trees__max_depth': 15, 'extra_trees__min_samples_leaf': 1, 'selector__percentile': 10}",0.6748,0.6739
lgbm,0.7305,"{'lgbm__colsample_bytree': 0.25, 'lgbm__min_split_gain': 0, 'lgbm__num_leaves': 31, 'selector__percentile': 100}",0.7203,0.7188
logistic_at,0.3969,"{'logistic_at__alpha': 1, 'selector__percentile': 100}",0.3934,0.3945
logistic_it,0.4838,"{'logistic_it__alpha': 10, 'selector__percentile': 100}",0.5664,0.4718
lad,0.3824,"{'lad__C': 1, 'selector__percentile': 100}",0.3444,0.3545
ordinal_ridge,0.3545,"{'ordinal_ridge__alpha': 1, 'selector__percentile': 100}",0.3531,0.365
logistic_se,0.3652,"{'logistic_se__alpha': 1, 'selector__percentile': 100}",0.3497,0.3618
